,0
"(0.005, 0)",0.33
"(0.005, 10)",0.6
"(0.005, 11)",0.5
"(0.005, 12)",0.54
"(0.005, 13)",0.51
"(0.005, 14)",0.59
"(0.005, 15)",0.78
"(0.005, 16)",0.6
"(0.005, 17)",0.57
"(0.005, 18)",0.5
"(0.005, 19)",0.56
"(0.005, 20)",0.6
"(0.005, 21)",0.66
"(0.005, 22)",0.62
"(0.005, 23)",0.74
"(0.005, 24)",0.71
"(0.005, 25)",0.68
"(0.005, 26)",0.75
"(0.005, 27)",0.72
"(0.005, 28)",0.71
"(0.005, 29)",0.69
"(0.005, 30)",0.6
"(0.005, 31)",0.59
"(0.005, 32)",0.38
"(0.005, 33)",0.34
"(0.005, 34)",0.33
"(0.005, 40)",0.33
"(0.005, 50)",0.33
"(0.005, 60)",0.3
"(0.005, 70)",0.33
