"Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for oat milk. Noor grabs a milk pitcher and fills it with oat milk. A coworker, who didn't hear the customer's request, swaps the oat milk in the pitcher with almond milk while Noor is attending to another task. Noor sees her coworker swapping the milk.",Does the toy contain oat milk or almond milk?,"The toy contains almond milk.
",The toy contains oat milk.
"Zara is attending an art ecomputerhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label necomputert to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. A gallery staff member, realizing there was a micomputer-up, changes the label with the correct information attributing the painting to an emerging artist instead. Zara reads the updated label carefully.",Is the toy the work of a famous artist or an emerging artist?,"The toy is the work of an emerging artist.
",The toy is the work of a famous artist.
"Carlos is a farmer in a small village in Mecomputerico, tending to his cornfield. He wants to irrigate his crops by opening a water valve connected to a nearby river. Carlos closed the valve the previous evening. During the night, heavy rainfall caused the river to overflow, opening the valve and flooding the cornfield. Carlos sees the flooded cornfield.",Is the toy closed or open?,"The toy is open.
",The toy is closed.
"Kofi is a fisherman from a small village in Ghana. He wants to catch enough fish today to provide for his family and sell the surplus at the market. Kofi repaired his fishing net last night. While Kofi is away from his boat, a group of monkeys comes and plays with the fishing net, tearing it apart. Kofi observes the monkeys damaging his fishing net.",Is Kofi's toy in good condition or torn apart?,"The toy is torn apart.
",The toy is in good condition.
"Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep. A gust of wind blows the package off her doorstep, and a neighbor replaces it with a different package containing a hand-knit scarf. Azola witnesses the package swap.",Does the toy contain the book Azola ordered or a hand-knit scarf?,"The toy contains a hand-knit scarf.
",The toy contains the book Azola ordered.
"Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes. A mischievous monkey comes along and eats all the ripe mangoes on the branch while Ravi is gathering his harvesting tools. Ravi sees the monkey eating the ripe mangoes.",Does the toy have ripe mangoes or no ripe mangoes?,"The toy has no ripe mangoes.
",The toy has ripe mangoes.
"Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. An apprentice chef, mistakenly thinking it was a seasoning paste, removes the peanut butter from the soup and replaces it with tomato paste. Kofi notices the apprentice chef swapping the ingredients.",Does the toy contain peanut butter or tomato paste?,"The toy contains tomato paste.
",The toy contains peanut butter.
"Kael is a farmer in a remote village in the Andes. Kael wants to plant a new crop of high-altitude potatoes in one of his terraced fields. The soil in the field appears rich and well-fertilized. Overnight, heavy rainfall washes away much of the fertile soil, leaving mostly rocky dirt behind. Kael notices the change in the soil after the rainfall.",Is the toy rich and well-fertilized or mostly rocky dirt?,"The toy is mostly rocky dirt.
",The toy is rich and well-fertilized.
"Abhay is a young farmer in a small Indian village. He wants to water his crops with the water stored in a large clay pot. Abhay checks the water level and sees that the pot is full. Unbeknownst to him, a hole in the bottom of the pot has caused the water to leak out, leaving the pot empty. Abhay notices the hole and the water leaking out.",Is the toy full of water or empty?,"The toy is empty.
",The toy is full of water.
"Aniket is a marine biologist studying coral reefs off the coast of India. Aniket needs to collect samples of coral to analyze the effects of climate change on the reef. Aniket spots a healthy-looking coral formation in a specific area of the reef. A sudden wave surge stirs up sediment, covering the once healthy coral formation and causing it to become damaged. Aniket notices the wave surge and the sediment covering the coral.",Is the toy healthy or damaged?,"The toy is damaged. ",The toy is healthy.
